model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time
look_up_table_linear_model,100,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,112.316,35.7083
look_up_table_linear_model,100,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,113.414,35.2278
linear_model,200,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,79.9367,21.8842
weighted_linear_model,200,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,84.6295,28.1142
look_up_table_linear_model,200,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,142.411,35.3002
look_up_table_linear_model,200,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,141.389,35.6896
look_up_table_linear_model,200,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,145.306,34.7374
linear_model,500,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,166.293,24.2358
weighted_linear_model,500,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,177.032,32.8127
look_up_table_linear_model,500,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,232.773,35.8786
look_up_table_linear_model,500,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,235.571,34.3887
look_up_table_linear_model,500,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,233.95,35.1143
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,311.549,24.0659
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,350.874,28.9696
look_up_table_linear_model,1000,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,3798.76,34.6566
look_up_table_linear_model,1000,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,371.425,34.0931
look_up_table_linear_model,1000,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,2304.47,35.6868
